artist,album,genre,firstRelease,format,fullDate,mainLanguage,cityUa,cityEn,label,sex,artistLink,albumLink
Uvaga,Очевидно,punk,yes,ep,06.07.2021,ua,Тернопіль,Ternopil,self-made,M,https://www.instagram.com/uvaga.punx/,https://music.youtube.com/playlist?list=OLAK5uy_nY-UoERIjtxv60jSEiD54n-KR9tatiANs
Vacuum Formula,Anode,electronic,no,ep,20.03.2021,-,Київ,Kyiv,Neuro Surfers Alternative,M,https://www.instagram.com/vacuumformula/,https://music.youtube.com/watch?v=2a0VAun-0O0&list=OLAK5uy_nJ7CvvB5szQiwAosqUGxvrgxLqu9P-NhQ
Vacuum Formula,Cathode,electronic,no,ep,29.05.2021,-,Київ,Kyiv,Neuro Surfers Alternative,M,https://www.instagram.com/vacuumformula/,https://music.youtube.com/playlist?list=OLAK5uy_noLFGDCI64lu0M2j4Dkd5yTzZF0CLp3_E
Vadim Bessarab Trio,Differences,jazz,yes,lp,11.12.2021,-,Одеса,Odesa,self-made,M,https://www.instagram.com/vadimbessarabtrio/,https://music.youtube.com/playlist?list=OLAK5uy_lRMsE_40X468TkZpUHhmvc3odiRA4sTbc
Vadim Derepa,Debutes,classical,no,lp,20.03.2021,-,Київ,Kyiv,Audd Music,M,https://www.instagram.com/vadimderepa/,https://music.youtube.com/playlist?list=OLAK5uy_l5Yrbqrzi8e8ZE9O4T2pUjATD-sx6XW60
Vadym Kholodenko,Liszt: Transcendental Études,classical,no,lp,30.11.2020,,Київ,Kyiv,,,,https://music.youtube.com/playlist?list=OLAK5uy_nOyTwgTHMCLKxflR60OCRVDm4wd_jHxSs
Vadym Kholodenko,Prokofiev: Sonata No. 6 & Visions fugitives,classical,no,lp,30.11.2020,,Київ,Kyiv,,,,https://music.youtube.com/playlist?list=OLAK5uy_lfSM2qxubzzIfR5qeZad1Qqm3xrZmwBZI
Vagabond Specter,Bipolar,alternative,no,lp,18.06.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/vagabond_specter/,https://music.youtube.com/playlist?list=OLAK5uy_nAd_XgUXcrelKKcNZvd2oUSCMSKLwXKEo
Vakula,Вне времени,hip-hop / rap,no,lp,19.06.2021,ru,Київ,Kyiv,Mnogo Vody,M,https://www.instagram.com/vakula_off/,https://music.youtube.com/playlist?list=OLAK5uy_mRbLaXV1IAssO9UuZZQ5mlFEL5SEXOGZU
"Valentin Silvestrov, Inna Galatenko, Oleg Bezdorodko, Marija Grikevičiūtė, Lithuanian National Symphony Orchestra, Christopher Lyndon-Gee ",Valentin Silvestrov: Works,classical,no,lp,30.11.2020,,,,Naxos,Mix,,https://music.youtube.com/playlist?list=OLAK5uy_m2I0PhH1rGx6dTmDIW1rqGos2moDLbQ58
Vasily Richter,"Здравствуй, Солнце!",rock,yes,lp,13.11.2021,en,Київ,Kyiv,Roschinka Sound,M,https://www.instagram.com/rihterb/,https://music.youtube.com/watch?v=rvO01fsiYCA&list=OLAK5uy_n-DEOyod6TSiK-1XqXCmG54Nt4DA-FHhY
Vbros,XXXXXXMAS,christian,no,ep,07.01.2021,ru,Київ,Kyiv,DNK Music,M,https://www.instagram.com/vbrosgang/,https://music.apple.com/ru/album/1492124991?app=music&mt=1&at=1000l9WJ&ct=bq
VCHASNO,Чари,indie pop,yes,ep,15.12.2021,ua,Київ,Kyiv,self-made,Mix,https://www.instagram.com/vchasnomusic/,https://music.youtube.com/playlist?list=OLAK5uy_kdgGLBbPm3xsRgBya8Hn9f8wjAdL1xSH0
Verka Serduchka,Sexy,pop,no,ep,04.09.2021,en,Київ,Kyiv,Mamamusic,M,https://www.instagram.com/v_serduchka/,https://music.youtube.com/playlist?list=OLAK5uy_lKTx5DnbljJQ_8hRIqMd8p0VPN-WT9kyU
Vitaliy Kozubenko,Recipe for Disaster,electronic,yes,ep,17.02.2021,-,Луганськ,Luhansk,Levitation Upright,M,https://www.instagram.com/vitaliy_kozubenko/,https://music.youtube.com/playlist?list=OLAK5uy_mEbUV8Yvcbf9bjM4aeR28DCZDFXa1sRs4
Vitauct,My Rats Are Hungry,noise,no,lp,25.08.2021,-,Хмельницький,Khmelnytskyi,self-made,M,,https://vitauct.bandcamp.com/album/my-rats-are-hungry
Vitauct,Organs Of Locomotion,noise,no,lp,28.11.2021,-,Хмельницький і Філіппіни,"Khmelnytskyi, Philipines",self-made,M,,https://vitauct.bandcamp.com/album/organs-of-locomotion
Vlad Suppish,Life Shrugs and Waves,ambient,no,ep,22.03.2021,-,Буча,Bucha,Corridor Audio,M,https://www.instagram.com/vlad_suppish/,https://music.youtube.com/playlist?list=OLAK5uy_me3fO-ff6tYWgsSkr7GgzYBuTLcsdN8So
Vladimir Gnatenko,Arch,electronic,no,lp,18.01.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/vladimir.gnatenko.kiev/,https://vladimirgnatenko.bandcamp.com/album/arch
Vladimir Gnatenko,Die Nag Ep,electronic,no,ep,11.11.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/vladimir.gnatenko.kiev/,https://animalsonpsychedelicsmusic.bandcamp.com/album/die-nag-ep
Vladimir Gnatenko,Hedem,electronic,no,ep,25.09.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/vladimir.gnatenko.kiev/,https://vladimirgnatenko.bandcamp.com/album/hedem
Vladimir Gnatenko,Recordings from Mambarium,electronic,no,lp,12.04.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/vladimir.gnatenko.kiev/,https://vladimirgnatenko.bandcamp.com/album/recordings-from-mambarium
Vladimir Gnatenko,Skaak,electronic,no,lp,12.07.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/vladimir.gnatenko.kiev/,https://vladimirgnatenko.bandcamp.com/album/skaak
VnatureBand,И R P E N,trap,no,ep,14.12.2021,"ua, en, ru",Київ,Kyiv,Venona Records ,Mix,https://www.instagram.com/vnatureband/,https://music.youtube.com/playlist?list=OLAK5uy_kV6Ovri8Vg94mEgqsOPlAwRNN31-a5riE
Vnuk,Проигрыш,hip-hop / rap,no,lp,06.02.2021,ru,Київ,Kyiv,AFERA MUSIC,M,https://www.instagram.com/vnuk_vnuk_vnuk/,https://music.youtube.com/playlist?list=OLAK5uy_nDQrHHa4PT1BjmMqt-th6QkOKwAm8eQHQ
Vnuk,Gvozdi,hip-hop / rap,no,ep,21.12.2021,ru,Київ,Kyiv,AFERA MUSIC,M,https://www.instagram.com/vnuk_vnuk_vnuk/,https://music.youtube.com/playlist?list=OLAK5uy_mMtc9AZ4rJVBDjDlJ2lxT3M5okG0rn7VQ
Voida,Dekada,rock,no,lp,04.09.2021,en,Київ,Kyiv,self-made,M,https://www.facebook.com/Voida/,https://music.youtube.com/playlist?list=OLAK5uy_ldQDSHOjdUrWI84fhH3zzREFOZ1Y2BJGQ
"Voin Oruwu, Andrey Sirotkin, Mullah Shaheed",That Other Earth,electronic,no,ep,25.08.2021,-,Київ,Kyiv,Corridor Audio,M,,https://music.youtube.com/playlist?list=OLAK5uy_nSCOmKrSYrW8ghcm45XN8-X3-p6FG4C_Y
Volver Stone,"God i pray, my church is you",rock,no,ep,17.07.2021,en,Житомир,Zhytomyr,Robustfellow prods.,M,https://www.instagram.com/volver_stone/,https://music.youtube.com/playlist?list=OLAK5uy_mWXbZ79yD3Xyk-fe1Vly6N8hse94PpyEk
Vroda,Senses,electronic,yes,ep,07.08.2021,-,Луганськ,Luhansk,Thousand Kisses Place,M,https://www.instagram.com/davidvroda/,https://music.youtube.com/playlist?list=OLAK5uy_lthkuWBQJpJvaDxN0TERjRidcvPsadWJU
VTV,Смотри на вещи шире,rock,yes,lp,28.09.2021,ru,Кривий Ріг,Kryvyi Rih,self-made,M,https://www.instagram.com/vtv_punx/,https://music.youtube.com/playlist?list=OLAK5uy_kIAFWZm8e1kqTtLVg89e3tYcO2pqOZYwc
Wanna Wake,Diligence,hip-hop / rap,no,ep,25.07.2021,ua,Київ,Kyiv,HYPE TILL DIE.,M,https://www.instagram.com/wannawakemusic/,https://music.youtube.com/playlist?list=OLAK5uy_nJp6p_qaE1MFogOLKHLXjPC5xYH46XxcU
Wavewalkrs,#in/sanity,alternative,no,ep,07.12.2021,en,Київ,Kyiv,self-made,M,https://www.facebook.com/wavewalkrs,https://music.youtube.com/playlist?list=OLAK5uy_kEq5mQnEQmQp4_EN1U86Kjn0Yy4sRlUAs
Wavy Dem,Wet Soakin' Opera,hip-hop / rap,no,lp,20.03.2021,en,Київ,Kyiv,Abbi Music,M,https://www.instagram.com/wavydem/,https://music.youtube.com/playlist?list=OLAK5uy_nmBGpsbyaZ87isgI1Oy0Fs4d1arF3RjVI
We Don't Eat Humans,We Don't Eat Humans,indie,yes,ep,30.07.2021,-,Київ,Kyiv,self-made,-,https://www.facebook.com/wedonteathumans/,https://music.youtube.com/playlist?list=OLAK5uy_l3EbruTZ7J67MoYDZC8J5pd7YbyXUqoDc
We The Censors,We The Censors,rock,yes,lp,14.01.2021,en,Київ,Kyiv,self-made,M,https://www.instagram.com/wethecensors/,https://music.youtube.com/playlist?list=OLAK5uy_kGd6X2zXghEYXKP0la7hvexDGxCi9iFOA
Whaler,Noncommon Sense,electronic,yes,ep,04.07.2021,-,Київ,Kyiv,self-made,M,https://www.instagram.com/iamwhaler/?utm_source=ig_embed,https://music.youtube.com/playlist?list=OLAK5uy_kbtDmvS2P-hYyukZ_60qM_GxHI8uMHBdg
WHATISLOVE NIMAK,Bezdiploma,new wave,no,lp,11.11.2021,ua,Калуш,Kalush,Bog Da Nova Muzyka,M,https://www.instagram.com/whatislovenimak/,https://music.youtube.com/playlist?list=OLAK5uy_laA7LSGanpuyFl7NCseW-SwTSr1K5L1HQ
WHATISLOVE NIMAK,Diskoteka,new wave,no,lp,04.10.2021,ua,Калуш,Kalush,Bog Da Nova Muzyka,M,https://www.instagram.com/whatislovenimak/,https://music.youtube.com/playlist?list=OLAK5uy_kT_MIZqk7thI8KnlMHpvQGsTS6BUjuSjM
Wild Tribe,Desperation Fire I,rock,no,ep,30.10.2021,en,Одеса,Odesa,Hexe Music,Mix,https://www.instagram.com/wild_tribe_band/,https://music.youtube.com/watch?v=OfpLKXSqbhc&list=OLAK5uy_nnfHaKiQa_Y0feAONaOha3ZSYRzDyg2Ps
Wiseword.Nidaros,Альфа [Хрестоматія] Ωмега,Neofolk,no,lp,24.05.2021,ua,Миколаїв,Mykolaiv,self-made,Mix,https://www.facebook.com/WisewordNidaros/,https://wisewordnidaros.bandcamp.com/album/--3
Woo York,Echoes From Beyond,electronic,no,ep,15.05.2021,-,Київ,Kyiv,Afterlife Recordings,M,https://www.instagram.com/wooyork/,https://music.youtube.com/watch?v=dS5CQUosXAw&list=OLAK5uy_nvbUrHiI8eXDCLGhu7omGt6mO8oHcayJQ
XXV кадр,Специи,hip-hop / rap,no,lp,18.09.2021,ru,Київ,Kyiv,Dirty Station,M,https://www.instagram.com/xxvkadr/?fbclid=IwAR31P1SMPUW8iydRfeOqfdIUn3FVOtNZxxEf8ma22a-g_TSIAIaBV8L6Hzo,https://music.youtube.com/playlist?list=OLAK5uy_leVt2t_lwMSSV_AipmSEFgCe7AfB6OvYo
Yansima,Fanama,electronic,no,ep,02.04.2021,-,Харків,Kharkiv,self-made,M,https://www.instagram.com/yansima_music/?hl=uk,https://yansima.bandcamp.com/album/yansima-fanama
Yansima,Tweede Cans,electronic,no,ep,31.01.2021,-,Харків,Kharkiv,R & S Records,M,https://www.instagram.com/yansima_music/?hl=uk,https://yansima.bandcamp.com/album/tweede-cans
Yarek Ovich,Introversion,metal,no,lp,01.09.2021,en,Миколаїв,Mykolaiv,self-made,M,https://www.instagram.com/yarekovich/,https://yarekovich.bandcamp.com/album/introversion
Yarmak,RED LINE,hip-hop / rap,no,lp,11.12.2021,ru,Київ,Kyiv,Yarmak Music,M,https://www.instagram.com/yarmak_music/,https://music.youtube.com/watch?v=Le0T0at_yPg&list=OLAK5uy_l7f5DFqLCXr0R2k37sTfWA_txfK5OOSwo
